@type	tech	fichier
costume	des habitz qui estoient extraordinaires	merveilles17_arc_acflagrange_001
construction	theatre	merveilles17_arc_anmcrs388_001
construction	theatre	merveilles17_arc_anmcrs388_001
construction	pont de derriere	merveilles17_arc_anmcrs388_001
construction	deux de devant	merveilles17_arc_anmcrs388_001
décor	quatre rochers	merveilles17_arc_anmcrs388_001
construction	pont de derriere	merveilles17_arc_anmcrs388_001
construction	ponts de devant	merveilles17_arc_anmcrs388_001
décor	petits rochers	merveilles17_arc_anmcrs388_001
éclairage	cires blanches et jaulne	merveilles17_arc_ano12984_001
feu_d_artifice	feux d’artifices	merveilles17_arc_ano12984_001
feu_d_artifice	les feux d’artifices	merveilles17_arc_ano12984_001
machine	machines	merveilles17_arc_ano12984_001
feu_d_artifice	feu d’artifice	merveilles17_arc_ano12984_001
feu_d_artifice	vn feu d’artifice	merveilles17_arc_ano12984_001
musique	d’airs muscicaux	merveilles17_arc_bavmscheii38
machine_musicale	une machine	merveilles17_arc_bavmscheii38
musique	la contrebasse, de la viole, du violon et de la trompette et du tambourin	merveilles17_arc_bavmscheii38
machine_musicale	La machine	merveilles17_arc_bavmscheii38
machine	de machines	merveilles17_arc_bnfmsfr6143
éclairage	quatre flambeaux de poing	merveilles17_arc_bnfmsfr6143
costume	la croix de diamants	merveilles17_arc_bnfmsfr6143
costume	couvert des armes qu’il prend quand il marche contre ses Ennemis, ny dans cét équipage qui fait trembler toute l’Europe	merveilles17_i_ctb-perrault1670
costume	la richesse des habits	merveilles17_i_ctb-perrault1670
animal	les nombre des chevaux & des équipages	merveilles17_i_ctb-perrault1670
construction	Amphitéatre	merveilles17_i_ctb-perrault1670
animal	chevaux	merveilles17_i_ctb-perrault1670
construction	un Camp de quarante cinq toises en quarré, fermé de doubles barrieres, distantes l’une de l’autre, de quinze toises, pour le passages des Quadrilles ; à douze pieds loin de la derniere barriere furent dressez des échaffaux qui environnoient tout le Camp	merveilles17_i_ctb-perrault1670
	échaffaux	merveilles17_i_ctb-perrault1670
animal	tous les chevaux de main	merveilles17_i_ctb-perrault1670
construction	Les échaffaux	merveilles17_i_ctb-perrault1670
construction	un Amphiteatre	merveilles17_i_ctb-perrault1670
construction	cét Amphitheatre	merveilles17_i_ctb-perrault1670
construction	l’Amphiteatre	merveilles17_i_ctb-perrault1670
construction	grand échaffaut	merveilles17_i_ctb-perrault1670
construction	l’Amphitheatre	merveilles17_i_ctb-perrault1670
construction	leur échaffaut	merveilles17_i_ctb-perrault1670
construction	Le Dais	merveilles17_i_ctb-perrault1670
construction	l’Amphitheatre	merveilles17_i_ctb-perrault1670
costume	vétu à la Romaine, d’un habit en broderie d’or & d’argent sur un fonds de satin couleur de feu, les brodequins de même ; le tout garny d’une quantité innombrable de Rubis, son Casque étoit enrichy de pierreries, & ombragé d’un grand bouquet de plumes, aussi couleur de feu, avec une Agrette noire au milieu : Il portoit en sa main le bâton de Commandant qui étoit d’or	merveilles17_i_ctb-perrault1670
animal	le harnois de son cheval étoit pareillement en broderie d’or & d’argent, avec de grandes Aigles, & garny d’une infinité de rubans, ainsi que les crins & la queüe	merveilles17_i_ctb-perrault1670
animal	quatre chevaux de main	merveilles17_i_ctb-perrault1670
construction	l’Amphitheatre	merveilles17_i_ctb-perrault1670
construction	l’Echafaut	merveilles17_i_ctb-perrault1670
